table_name,key_column,src_id,trg_id,reconciliation_status
s1_channels,channel_id,151,151,Mismatch in channel_location
s1_channels,channel_id,152,152,Mismatch in channel_location
s1_channels,channel_id,153,153,Mismatch in channel_location
s1_channels,channel_id,154,154,Mismatch in channel_location
s1_channels,channel_id,155,155,Mismatch in channel_name
s1_channels,channel_id,156,156,Mismatch in channel_location
s1_channels,channel_id,157,,Only in source
s1_channels,channel_id,158,,Only in source
s1_clients,client_id,699,699,Mismatch in last_name
s1_clients,client_id,700,700,Mismatch in phone
s1_products,product_id,,50,Only in target
s1_sales,client_id+channel_id+product_id+purchase_date,104|123|35|09-MAY-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,108|36|23|21-OCT-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,110|110|8|25-APR-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,112|84|10|21-JAN-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,112|86|32|23-NOV-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,114|24|16|30-SEP-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,118|130|36|06-APR-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,121|125|27|02-MAY-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,123|98|50|03-APR-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,125|83|31|25-AUG-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,134|130|18|15-OCT-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,137|72|46|10-MAY-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,14|123|32|14-JUN-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,142|105|18|12-JAN-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,145|53|6|24-DEC-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,148|153|4|14-NOV-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,149|42|19|07-DEC-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,155|109|42|13-NOV-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,159|23|7|11-OCT-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,162|132|17|18-SEP-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,167|134|26|08-DEC-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,176|10|10|17-OCT-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,182|132|14|04-MAR-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,187|50|3|08-DEC-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,188|71|21|13-SEP-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,2|30|4|01-AUG-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,202|53|14|06-OCT-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,205|36|47|29-DEC-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,205|75|38|16-MAY-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,206|146|15|24-MAR-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,219|27|25|17-SEP-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,242|84|11|26-OCT-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,247|143|44|07-APR-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,25|17|34|02-NOV-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,26|48|40|17-MAY-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,26|50|40|29-NOV-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,264|46|21|24-JUN-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,269|108|36|29-AUG-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,276|49|33|04-FEB-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,279|139|1|04-JUL-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,283|53|23|17-AUG-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,287|24|20|16-DEC-06,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,29|21|22|07-JUL-05,,Only in source
s1_sales,client_id+channel_id+product_id+purchase_date,294|3|23|06-NOV-06,,Only in source
